"","gene","stage","counts_sum"
"846","BX465227.1","21Day",1069
"847","BX465227.1","22Month",2369
"848","BX465227.1","24hpf",551
"849","BX465227.1","3Month",4030
"850","BX465227.1","72hpf",1276
"851","BX465228.2","21Day",1309
"852","BX465228.2","22Month",7211
"853","BX465228.2","24hpf",179
"854","BX465228.2","3Month",8248
"855","BX465228.2","72hpf",890
"856","BX465834.1","21Day",3229
"857","BX465834.1","22Month",848
"858","BX465834.1","24hpf",364
"859","BX465834.1","3Month",1037
"860","BX465834.1","72hpf",15652
"861","BX465836.1","21Day",10
"862","BX465836.1","22Month",6
"863","BX465836.1","24hpf",18
"864","BX465836.1","3Month",8
"865","BX465836.1","72hpf",20
"866","BX465844.1","21Day",26
"867","BX465844.1","22Month",54
"868","BX465844.1","24hpf",14
"869","BX465844.1","3Month",551
"870","BX465844.1","72hpf",26
"871","BX469885.1","21Day",66
"872","BX469885.1","22Month",1290
"873","BX469885.1","24hpf",211
"874","BX469885.1","3Month",467
"875","BX469885.1","72hpf",104
"876","BX469902.1","21Day",165
"877","BX469902.1","22Month",45
"878","BX469902.1","24hpf",34
"879","BX469902.1","3Month",71
"880","BX469902.1","72hpf",124
"881","BX469925.1","21Day",37
"882","BX469925.1","22Month",90
"883","BX469925.1","24hpf",37
"884","BX469925.1","3Month",52
"885","BX469925.1","72hpf",15
"886","BX469930.1","21Day",0
"887","BX469930.1","22Month",52
"888","BX469930.1","24hpf",114
"889","BX469930.1","3Month",64
"890","BX469930.1","72hpf",5
"891","BX470176.1","21Day",67
"892","BX470176.1","22Month",77
"893","BX470176.1","24hpf",41
"894","BX470176.1","3Month",113
"895","BX470176.1","72hpf",91
"896","BX470182.1","21Day",240
"897","BX470182.1","22Month",347
"898","BX470182.1","24hpf",48
"899","BX470182.1","3Month",323
"900","BX470182.1","72hpf",202
"901","BX470189.1","21Day",421
"902","BX470189.1","22Month",1072
"903","BX470189.1","24hpf",493
"904","BX470189.1","3Month",2335
"905","BX470189.1","72hpf",1260
"906","BX470211.1","21Day",184
"907","BX470211.1","22Month",783
"908","BX470211.1","24hpf",103
"909","BX470211.1","3Month",1695
"910","BX470211.1","72hpf",201
"911","BX470238.1","21Day",211
"912","BX470238.1","22Month",654
"913","BX470238.1","24hpf",61
"914","BX470238.1","3Month",764
"915","BX470238.1","72hpf",386
"916","BX470240.1","21Day",2
"917","BX470240.1","22Month",0
"918","BX470240.1","24hpf",4
"919","BX470240.1","3Month",0
"920","BX470240.1","72hpf",0
"921","BX470259.1","21Day",132
"922","BX470259.1","22Month",282
"923","BX470259.1","24hpf",194
"924","BX470259.1","3Month",719
"925","BX470259.1","72hpf",302
"926","BX470259.4","21Day",1543
"927","BX470259.4","22Month",2434
"928","BX470259.4","24hpf",1089
"929","BX470259.4","3Month",5275
"930","BX470259.4","72hpf",4436
"931","BX470259.5","21Day",143
"932","BX470259.5","22Month",9
"933","BX470259.5","24hpf",231
"934","BX470259.5","3Month",41
"935","BX470259.5","72hpf",192
"936","BX470264.1","21Day",1772
"937","BX470264.1","22Month",241
"938","BX470264.1","24hpf",432
"939","BX470264.1","3Month",382
"940","BX470264.1","72hpf",5799
"941","BX510319.1","21Day",1
"942","BX510319.1","22Month",0
"943","BX510319.1","24hpf",0
"944","BX510319.1","3Month",5
"945","BX510319.1","72hpf",1
"946","BX510649.1","21Day",11
"947","BX510649.1","22Month",1004
"948","BX510649.1","24hpf",71
"949","BX510649.1","3Month",641
"950","BX510649.1","72hpf",39
"951","BX510909.2","21Day",16
"952","BX510909.2","22Month",5
"953","BX510909.2","24hpf",151
"954","BX510909.2","3Month",36
"955","BX510909.2","72hpf",44
"956","BX510922.1","21Day",33
"957","BX510922.1","22Month",11
"958","BX510922.1","24hpf",34
"959","BX510922.1","3Month",7
"960","BX510922.1","72hpf",88
"961","BX510923.1","21Day",1020
"962","BX510923.1","22Month",3544
"963","BX510923.1","24hpf",417
"964","BX510923.1","3Month",5608
"965","BX510923.1","72hpf",1625
"966","BX510934.1","21Day",13
"967","BX510934.1","22Month",0
"968","BX510934.1","24hpf",27
"969","BX510934.1","3Month",0
"970","BX510934.1","72hpf",21
"971","BX510940.1","21Day",524
"972","BX510940.1","22Month",1463
"973","BX510940.1","24hpf",111
"974","BX510940.1","3Month",2206
"975","BX510940.1","72hpf",214
"976","BX510989.1","21Day",16
"977","BX510989.1","22Month",54
"978","BX510989.1","24hpf",51
"979","BX510989.1","3Month",841
"980","BX510989.1","72hpf",51
"981","BX510992.2","21Day",111
"982","BX510992.2","22Month",484
"983","BX510992.2","24hpf",15
"984","BX510992.2","3Month",118
"985","BX510992.2","72hpf",81
"986","BX511021.2","21Day",323
"987","BX511021.2","22Month",1009
"988","BX511021.2","24hpf",42
"989","BX511021.2","3Month",3154
"990","BX511021.2","72hpf",88
"991","BX511034.1","21Day",221
"992","BX511034.1","22Month",88
"993","BX511034.1","24hpf",54
"994","BX511034.1","3Month",275
"995","BX511034.1","72hpf",152
"996","BX511034.3","21Day",50
"997","BX511034.3","22Month",145
"998","BX511034.3","24hpf",41
"999","BX511034.3","3Month",608
"1000","BX511034.3","72hpf",88
"1001","BX511034.5","21Day",125
"1002","BX511034.5","22Month",11
"1003","BX511034.5","24hpf",36
"1004","BX511034.5","3Month",263
"1005","BX511034.5","72hpf",110
"1006","BX511034.7","21Day",441
"1007","BX511034.7","22Month",2651
"1008","BX511034.7","24hpf",203
"1009","BX511034.7","3Month",2757
"1010","BX511034.7","72hpf",344
"1011","BX511061.1","21Day",102
"1012","BX511061.1","22Month",496
"1013","BX511061.1","24hpf",144
"1014","BX511061.1","3Month",552
"1015","BX511061.1","72hpf",212
"1016","BX511089.2","21Day",4
"1017","BX511089.2","22Month",57
"1018","BX511089.2","24hpf",16
"1019","BX511089.2","3Month",230
"1020","BX511089.2","72hpf",9
"1021","BX511128.1","21Day",57
"1022","BX511128.1","22Month",91
"1023","BX511128.1","24hpf",60
"1024","BX511128.1","3Month",353
"1025","BX511128.1","72hpf",64
"1026","BX511128.2","21Day",28
"1027","BX511128.2","22Month",491
"1028","BX511128.2","24hpf",26
"1029","BX511128.2","3Month",895
"1030","BX511128.2","72hpf",22
"1031","BX511129.1","21Day",657
"1032","BX511129.1","22Month",933
"1033","BX511129.1","24hpf",293
"1034","BX511129.1","3Month",2628
"1035","BX511129.1","72hpf",555
"1036","BX511129.3","21Day",232
"1037","BX511129.3","22Month",381
"1038","BX511129.3","24hpf",91
"1039","BX511129.3","3Month",820
"1040","BX511129.3","72hpf",624
"1041","BX511136.1","21Day",52
"1042","BX511136.1","22Month",16
"1043","BX511136.1","24hpf",489
"1044","BX511136.1","3Month",85
"1045","BX511136.1","72hpf",155
"1046","BX511142.1","21Day",18
"1047","BX511142.1","22Month",25
"1048","BX511142.1","24hpf",20
"1049","BX511142.1","3Month",68
"1050","BX511142.1","72hpf",49
"1051","BX511161.1","21Day",162
"1052","BX511161.1","22Month",2
"1053","BX511161.1","24hpf",109
"1054","BX511161.1","3Month",0
"1055","BX511161.1","72hpf",397
"1056","BX511166.1","21Day",45
"1057","BX511166.1","22Month",132
"1058","BX511166.1","24hpf",47
"1059","BX511166.1","3Month",119
"1060","BX511166.1","72hpf",50
"1061","BX511227.1","21Day",45
"1062","BX511227.1","22Month",65
"1063","BX511227.1","24hpf",188
"1064","BX511227.1","3Month",18
"1065","BX511227.1","72hpf",272
"1066","BX511246.1","21Day",94
"1067","BX511246.1","22Month",250
"1068","BX511246.1","24hpf",83
"1069","BX511246.1","3Month",348
"1070","BX511246.1","72hpf",70
"1071","BX511310.1","21Day",28
"1072","BX511310.1","22Month",680
"1073","BX511310.1","24hpf",28
"1074","BX511310.1","3Month",3826
"1075","BX511310.1","72hpf",41
"1076","BX530017.2","21Day",46
"1077","BX530017.2","22Month",21
"1078","BX530017.2","24hpf",77
"1079","BX530017.2","3Month",146
"1080","BX530017.2","72hpf",132
"1081","BX530018.2","21Day",547
"1082","BX530018.2","22Month",1131
"1083","BX530018.2","24hpf",193
"1084","BX530018.2","3Month",2015
"1085","BX530018.2","72hpf",580
"1086","BX530032.1","21Day",45
"1087","BX530032.1","22Month",44
"1088","BX530032.1","24hpf",19
"1089","BX530032.1","3Month",98
"1090","BX530032.1","72hpf",65
"1091","BX530077.1","21Day",185
"1092","BX530077.1","22Month",344
"1093","BX530077.1","24hpf",221
"1094","BX530077.1","3Month",157
"1095","BX530077.1","72hpf",690
"1096","BX530097.1","21Day",51
"1097","BX530097.1","22Month",12
"1098","BX530097.1","24hpf",54
"1099","BX530097.1","3Month",21
"1100","BX530097.1","72hpf",82
"1101","BX530721.1","21Day",37
"1102","BX530721.1","22Month",54
"1103","BX530721.1","24hpf",22
"1104","BX530721.1","3Month",5
"1105","BX530721.1","72hpf",32
"1106","BX537110.1","21Day",8
"1107","BX537110.1","22Month",2
"1108","BX537110.1","24hpf",17
"1109","BX537110.1","3Month",23
"1110","BX537110.1","72hpf",11
"1111","BX537120.3","21Day",4
"1112","BX537120.3","22Month",46
"1113","BX537120.3","24hpf",19
"1114","BX537120.3","3Month",16
"1115","BX537120.3","72hpf",0
"1116","BX537137.3","21Day",24
"1117","BX537137.3","22Month",15
"1118","BX537137.3","24hpf",36
"1119","BX537137.3","3Month",27
"1120","BX537137.3","72hpf",62
"1121","BX537166.1","21Day",60
"1122","BX537166.1","22Month",30
"1123","BX537166.1","24hpf",15
"1124","BX537166.1","3Month",2
"1125","BX537166.1","72hpf",51
"1126","BX537308.1","21Day",146
"1127","BX537308.1","22Month",370
"1128","BX537308.1","24hpf",64
"1129","BX537308.1","3Month",150
"1130","BX537308.1","72hpf",77
"1131","BX537342.1","21Day",289
"1132","BX537342.1","22Month",801
"1133","BX537342.1","24hpf",238
"1134","BX537342.1","3Month",5264
"1135","BX537342.1","72hpf",744
"1136","BX547934.2","21Day",44
"1137","BX547934.2","22Month",429
"1138","BX547934.2","24hpf",37
"1139","BX547934.2","3Month",472
"1140","BX547934.2","72hpf",51
"1141","BX548000.1","21Day",0
"1142","BX548000.1","22Month",8
"1143","BX548000.1","24hpf",135
"1144","BX548000.1","3Month",0
"1145","BX548000.1","72hpf",83
"1146","BX548024.1","21Day",8
"1147","BX548024.1","22Month",0
"1148","BX548024.1","24hpf",114
"1149","BX548024.1","3Month",6
"1150","BX548024.1","72hpf",12
"1151","BX548044.7","21Day",5
"1152","BX548044.7","22Month",3
"1153","BX548044.7","24hpf",12
"1154","BX548044.7","3Month",87
"1155","BX548044.7","72hpf",17
"1156","BX548046.2","21Day",1486
"1157","BX548046.2","22Month",3127
"1158","BX548046.2","24hpf",214
"1159","BX548046.2","3Month",4898
"1160","BX548046.2","72hpf",2054
"1161","BX548062.1","21Day",401
"1162","BX548062.1","22Month",415
"1163","BX548062.1","24hpf",216
"1164","BX548062.1","3Month",193
"1165","BX548062.1","72hpf",1424
"1166","BX548073.3","21Day",305
"1167","BX548073.3","22Month",640
"1168","BX548073.3","24hpf",34
"1169","BX548073.3","3Month",3771
"1170","BX548073.3","72hpf",331
"1171","BX548075.3","21Day",1
"1172","BX548075.3","22Month",3
"1173","BX548075.3","24hpf",6
"1174","BX548075.3","3Month",0
"1175","BX548075.3","72hpf",2
"1176","BX548077.1","21Day",785
"1177","BX548077.1","22Month",413
"1178","BX548077.1","24hpf",492
"1179","BX548077.1","3Month",521
"1180","BX548077.1","72hpf",2308
"1181","BX548157.1","21Day",86
"1182","BX548157.1","22Month",30
"1183","BX548157.1","24hpf",35
"1184","BX548157.1","3Month",106
"1185","BX548157.1","72hpf",54
"1186","BX569787.1","21Day",334
"1187","BX569787.1","22Month",985
"1188","BX569787.1","24hpf",858
"1189","BX569787.1","3Month",1884
"1190","BX569787.1","72hpf",1293
"1191","BX569789.1","21Day",184
"1192","BX569789.1","22Month",31
"1193","BX569789.1","24hpf",100
"1194","BX569789.1","3Month",153
"1195","BX569789.1","72hpf",632
"1196","BX569793.1","21Day",62
"1197","BX569793.1","22Month",12
"1198","BX569793.1","24hpf",201
"1199","BX569793.1","3Month",159
"1200","BX569793.1","72hpf",203
"1201","BX569796.1","21Day",327
"1202","BX569796.1","22Month",1525
"1203","BX569796.1","24hpf",109
"1204","BX569796.1","3Month",1010
"1205","BX569796.1","72hpf",295
"1206","BX569801.1","21Day",55
"1207","BX569801.1","22Month",247
"1208","BX569801.1","24hpf",161
"1209","BX569801.1","3Month",921
"1210","BX569801.1","72hpf",124
"1211","BX571680.1","21Day",268
"1212","BX571680.1","22Month",598
"1213","BX571680.1","24hpf",91
"1214","BX571680.1","3Month",1170
"1215","BX571680.1","72hpf",492
"1216","BX571705.2","21Day",113
"1217","BX571705.2","22Month",4
"1218","BX571705.2","24hpf",51
"1219","BX571705.2","3Month",220
"1220","BX571705.2","72hpf",148
"1221","BX571712.3","21Day",10
"1222","BX571712.3","22Month",0
"1223","BX571712.3","24hpf",34
"1224","BX571712.3","3Month",170
"1225","BX571712.3","72hpf",31
"1226","BX571715.1","21Day",379
"1227","BX571715.1","22Month",7822
"1228","BX571715.1","24hpf",173
"1229","BX571715.1","3Month",11644
"1230","BX571715.1","72hpf",675
"1231","BX571780.1","21Day",0
"1232","BX571780.1","22Month",4
"1233","BX571780.1","24hpf",0
"1234","BX571780.1","3Month",0
"1235","BX571780.1","72hpf",0
"1236","BX571811.1","21Day",128
"1237","BX571811.1","22Month",168
"1238","BX571811.1","24hpf",106
"1239","BX571811.1","3Month",251
"1240","BX571811.1","72hpf",362
"1241","BX571811.2","21Day",94
"1242","BX571811.2","22Month",757
"1243","BX571811.2","24hpf",602
"1244","BX571811.2","3Month",943
"1245","BX571811.2","72hpf",261
"1246","BX571942.1","21Day",301
"1247","BX571942.1","22Month",135
"1248","BX571942.1","24hpf",176
"1249","BX571942.1","3Month",435
"1250","BX571942.1","72hpf",434
"1251","BX571960.1","21Day",321
"1252","BX571960.1","22Month",4059
"1253","BX571960.1","24hpf",39
"1254","BX571960.1","3Month",4773
"1255","BX571960.1","72hpf",330
"1256","BX572619.1","21Day",3796
"1257","BX572619.1","22Month",11474
"1258","BX572619.1","24hpf",2325
"1259","BX572619.1","3Month",15919
"1260","BX572619.1","72hpf",4277
"1261","BX629344.1","21Day",93
"1262","BX629344.1","22Month",889
"1263","BX629344.1","24hpf",65
"1264","BX629344.1","3Month",1401
"1265","BX629344.1","72hpf",123
"1266","BX640478.1","21Day",49
"1267","BX640478.1","22Month",94
"1268","BX640478.1","24hpf",66
"1269","BX640478.1","3Month",104
"1270","BX640478.1","72hpf",52
"1271","BX640537.3","21Day",497
"1272","BX640537.3","22Month",1329
"1273","BX640537.3","24hpf",230
"1274","BX640537.3","3Month",1664
"1275","BX640537.3","72hpf",973
"1276","BX640547.1","21Day",77
"1277","BX640547.1","22Month",392
"1278","BX640547.1","24hpf",51
"1279","BX640547.1","3Month",289
"1280","BX640547.1","72hpf",84
"1281","BX649250.1","21Day",4197
"1282","BX649250.1","22Month",4544
"1283","BX649250.1","24hpf",1890
"1284","BX649250.1","3Month",11276
"1285","BX649250.1","72hpf",4990
"1286","BX649294.1","21Day",89
"1287","BX649294.1","22Month",25
"1288","BX649294.1","24hpf",88
"1289","BX649294.1","3Month",24
"1290","BX649294.1","72hpf",70
"1291","BX649337.1","21Day",27
"1292","BX649337.1","22Month",457
"1293","BX649337.1","24hpf",9
"1294","BX649337.1","3Month",107
"1295","BX649337.1","72hpf",26
"1296","BX649384.3","21Day",8
"1297","BX649384.3","22Month",6
"1298","BX649384.3","24hpf",48
"1299","BX649384.3","3Month",39
"1300","BX649384.3","72hpf",28
"1301","BX649411.1","21Day",179
"1302","BX649411.1","22Month",1893
"1303","BX649411.1","24hpf",424
"1304","BX649411.1","3Month",1601
"1305","BX649411.1","72hpf",117
"1306","BX649411.2","21Day",335
"1307","BX649411.2","22Month",3383
"1308","BX649411.2","24hpf",491
"1309","BX649411.2","3Month",4544
"1310","BX649411.2","72hpf",320
"1311","BX649453.1","21Day",176
"1312","BX649453.1","22Month",84
"1313","BX649453.1","24hpf",39
"1314","BX649453.1","3Month",0
"1315","BX649453.1","72hpf",241
"1316","BX649478.1","21Day",326
"1317","BX649478.1","22Month",3807
"1318","BX649478.1","24hpf",158
"1319","BX649478.1","3Month",2035
"1320","BX649478.1","72hpf",564
"1321","BX649485.1","21Day",923
"1322","BX649485.1","22Month",8419
"1323","BX649485.1","24hpf",692
"1324","BX649485.1","3Month",9108
"1325","BX649485.1","72hpf",631
"1326","BX649485.2","21Day",405
"1327","BX649485.2","22Month",30415
"1328","BX649485.2","24hpf",1441
"1329","BX649485.2","3Month",18181
"1330","BX649485.2","72hpf",559
"1331","BX649485.4","21Day",795
"1332","BX649485.4","22Month",19108
"1333","BX649485.4","24hpf",701
"1334","BX649485.4","3Month",11925
"1335","BX649485.4","72hpf",939
"1336","BX649502.6","21Day",66
"1337","BX649502.6","22Month",213
"1338","BX649502.6","24hpf",29
"1339","BX649502.6","3Month",405
"1340","BX649502.6","72hpf",91
"1341","BX649529.1","21Day",275
"1342","BX649529.1","22Month",259
"1343","BX649529.1","24hpf",362
"1344","BX649529.1","3Month",413
"1345","BX649529.1","72hpf",968
"1346","BX649622.1","21Day",72
"1347","BX649622.1","22Month",68
"1348","BX649622.1","24hpf",17
"1349","BX649622.1","3Month",105
"1350","BX649622.1","72hpf",31
"1351","BX663503.1","21Day",495
"1352","BX663503.1","22Month",440
"1353","BX663503.1","24hpf",46
"1354","BX663503.1","3Month",1371
"1355","BX663503.1","72hpf",670
"1356","BX663503.3","21Day",3097
"1357","BX663503.3","22Month",8472
"1358","BX663503.3","24hpf",484
"1359","BX663503.3","3Month",20800
"1360","BX663503.3","72hpf",2083
"1361","BX663516.2","21Day",1116
"1362","BX663516.2","22Month",1117
"1363","BX663516.2","24hpf",138
"1364","BX663516.2","3Month",1196
"1365","BX663516.2","72hpf",430
"1366","BX663519.1","21Day",680
"1367","BX663519.1","22Month",413
"1368","BX663519.1","24hpf",178
"1369","BX663519.1","3Month",979
"1370","BX663519.1","72hpf",737
"1371","BX663613.1","21Day",18
"1372","BX663613.1","22Month",22
"1373","BX663613.1","24hpf",45
"1374","BX663613.1","3Month",14
"1375","BX663613.1","72hpf",48
"1376","BX664618.1","21Day",200
"1377","BX664618.1","22Month",549
"1378","BX664618.1","24hpf",239
"1379","BX664618.1","3Month",1080
"1380","BX664618.1","72hpf",60
"1381","BX664622.1","21Day",313
"1382","BX664622.1","22Month",4125
"1383","BX664622.1","24hpf",42
"1384","BX664622.1","3Month",14349
"1385","BX664622.1","72hpf",161
"1386","BX664625.4","21Day",75
"1387","BX664625.4","22Month",8
"1388","BX664625.4","24hpf",4
"1389","BX664625.4","3Month",355
"1390","BX664625.4","72hpf",6
"1391","BX664742.3","21Day",40
"1392","BX664742.3","22Month",89
"1393","BX664742.3","24hpf",55
"1394","BX664742.3","3Month",187
"1395","BX664742.3","72hpf",58
"1396","BX682234.1","21Day",29
"1397","BX682234.1","22Month",604
"1398","BX682234.1","24hpf",54
"1399","BX682234.1","3Month",1103
"1400","BX682234.1","72hpf",37
"1401","BX682556.1","21Day",724
"1402","BX682556.1","22Month",2351
"1403","BX682556.1","24hpf",1606
"1404","BX682556.1","3Month",1290
"1405","BX682556.1","72hpf",407
"1406","BX682558.1","21Day",2213
"1407","BX682558.1","22Month",1244
"1408","BX682558.1","24hpf",3219
"1409","BX682558.1","3Month",4866
"1410","BX682558.1","72hpf",5577
"1411","BX855614.1","21Day",113
"1412","BX855614.1","22Month",36
"1413","BX855614.1","24hpf",82
"1414","BX855614.1","3Month",262
"1415","BX855614.1","72hpf",209
"1416","BX855614.3","21Day",145
"1417","BX855614.3","22Month",97
"1418","BX855614.3","24hpf",63
"1419","BX855614.3","3Month",161
"1420","BX855614.3","72hpf",508
"1421","BX855614.4","21Day",1057
"1422","BX855614.4","22Month",1206
"1423","BX855614.4","24hpf",1119
"1424","BX855614.4","3Month",1204
"1425","BX855614.4","72hpf",2505
"1426","BX890548.1","21Day",386
"1427","BX890548.1","22Month",2245
"1428","BX890548.1","24hpf",373
"1429","BX890548.1","3Month",4911
"1430","BX890548.1","72hpf",410
"1431","BX890558.1","21Day",457
"1432","BX890558.1","22Month",567
"1433","BX890558.1","24hpf",353
"1434","BX890558.1","3Month",2723
"1435","BX890558.1","72hpf",565
"1436","BX890576.1","21Day",20
"1437","BX890576.1","22Month",143
"1438","BX890576.1","24hpf",54
"1439","BX890576.1","3Month",759
"1440","BX890576.1","72hpf",17
